cepet,cepat
gagalgara,gagal gara
fikir,pikir
awalawal,awal awal
cakeptapi,cakep tapi
bye,selamat tinggal
maks,maksimal
default,bawaan
proseswhy,proses kenapa
menitjam,menit jam
gilak,gila
tampannn,tampan
diem,diam
prjalananjoss,perjalanan bagus
aamiin,amin
gojekk,gojek
sgbai,sebagai
mmbangun,membangun
mmberikan,memberikan
stdknya,setidaknya
mamanusiakan,memanusiakan
dgnan,dengan
kejamsaya,kejam saya
berikhan,berikan
lsg,langsung
dinaekin,menaikkan
untubg,untung
aplikasii,aplikasi
nda,tidak
bisaa,bisa
devloper,pengembang
store,toko
joss,bagus
gacoan,andalan
mendownload,unduh
ato,atau
dlbisa,dulu bisa
bagussering,bagus sering
disc,diskon
gonta,ganti
fvckkkkkkmakin,sial makin
lgpadahal,lagi padahal
aplikasipaylater,aplikasi bayar nanti
terkecualibiarpun,terkecuali biarpun
semakun,samakin
center,pusat
langsun,langsung
aktifitas,aktivitas
dl,dulu
telp,telepon
clear,bersih
log,masuk
taudikembalikan,tahu mengembalikan
payaah,payah
apain,apa
kastamer,pelanggan
kontl,kontol
perubahantrs,perubahan terus
jelasdan,jelas dan
resikoklo,risiko kalau
signal,sinyal
gofaylatermohon,gopaylater mohon
